segmentid,road_label,from_street,to_street,road_class,length_miles,crashes,deaths,serious_injuries,severity_score,first_year,last_year,max_match_distance_ft,score_per_mile,candidate_high_injury_segment
511961,SOUTHTON RD,TBD,TBD,Secondary Arterial A,0.01538939225378788,1,1,0,10,2024,2024,5.200237015038126,649.798239923259,True
431415,HISTORIC OLD HWY 90,MONTEREY ST,MONTEREY ST,Secondary Arterial A,0.019933728486742422,1,1,0,10,2025,2025,1.665399716590692,501.66229597492645,True
400839,W GERALD,OREGON ST,Dead End,None,0.01618574089772727,1,0,1,5,2026,2026,20.96949388831168,308.91387867836664,True
823308,IH 10 E,TBD,TBD,None,0.016472885323863637,1,0,1,5,2026,2026,5.533151666370247,303.52909655460854,True
514944,CULEBRA RD,TBD,TBD,Primary Arterial A,0.01928771412310606,1,0,1,5,2024,2024,32.184342837108986,259.23237808725924,True
822632,NE LOOP 410,TBD,TBD,None,0.021165207053030304,1,0,1,5,2025,2025,7.831663009850313,236.2367628850638,True
422711,RIVAS ST,N ELMENDORF,Dead End,None,0.022883041486742424,1,0,1,5,2024,2024,4.039601435995186,218.5024225427731,True
508918,SE MILITARY DR,GLASGOW DR,DUMBARTON DR,Primary Arterial A,0.052719717297348485,1,1,0,10,2024,2024,0.09658481456263715,189.682352498179,True
407288,W COMMERCE ST,N SAN HORACIO,N SAN IGNACIO,Secondary Arterial A,0.05319123014772728,1,1,0,10,2025,2025,1.9526905982555167,188.0009161703374,True
407620,BETTY LEVY,W MILITARY DR,RENE LEVY,None,0.029435745835227276,1,0,1,5,2024,2024,2.448498034489362,169.86150199789543,True
409920,NOGALITOS ST,PRUITT,DRAKE AVE,Secondary Arterial B,0.0348019590719697,1,0,1,5,2024,2024,3.0143149561621767,143.67007298813576,True
422678,N ZARZAMORA,CINCINNATI AVE,W ASHBY PLACE,Secondary Arterial B,0.07021379948863636,1,1,0,10,2024,2024,5.616463422528917,142.42214597172503,True
407684,S ROSILLO,BUENA VISTA ST,MONTEREY ST,None,0.07429281920454546,1,0,2,10,2026,2026,1.3378129279390443,134.6025108088531,True
313481,N ST MARYS,E RUSSELL PLACE,E CRAIG PLACE,None,0.03725460613068182,1,0,1,5,2026,2026,2.0294068212311944,134.2115920501477,True
406289,FRIO CITY RD,DORRIS ST,FRAN FRAN ST,Secondary Arterial B,0.07878859243371213,1,1,0,10,2025,2025,0.5131143206330159,126.9219272880574,True
202748,S GENERAL MCMULLEN,ALTA SITA,BUENA VISTA ST,Primary Arterial A,0.04030855753787879,1,0,1,5,2026,2026,3.090653507300607,124.04313886204922,True
313139,WALZEM RD,TBD,TBD,Secondary Arterial A,0.08135423376325758,1,1,0,10,2025,2025,1.417410680642203,122.91923280969245,False
416672,EVERS RD,NW LOOP 410,NW LOOP 410 ACCESS RD,None,0.04113344114204545,1,0,1,5,2025,2025,1.170137608750955,121.55559712919667,False
513714,FIVE PALMS DR,RAY ELLISON BLVD,CAMPUS PARK,None,0.042322169736742424,1,0,1,5,2024,2024,1.122954757492815,118.14139093297003,False
510032,E HOUSTON ST,SOLEDAD ST,BRIDGE,None,0.047507669310606064,1,0,1,5,2024,2024,4.589852642247093,105.24616493623172,False
313526,NEWELL,KARNES,AVENUE A,None,0.0483558494185606,1,0,1,5,2024,2024,1.70135072245017,103.4001069182094,False
823158,RAY ELLISON BLVD,APPLE VALLEY DR,BROOK VALLEY DR,Secondary Arterial A,0.05300943137878788,1,0,1,5,2024,2024,0.7313011448894572,94.32283784128248,False
409943,NOGALITOS ST,PRADO ST,CONCEPTION CT,Secondary Arterial B,0.054397655799242425,1,0,1,5,2026,2026,4.616533190599288,91.91572553149676,False
507455,9TH ST,UNION,IH 37 S ACCESS RD,None,0.05537769555303031,1,0,1,5,2025,2025,0.48891750971927006,90.28905861949318,False
503772,S WW WHITE RD,SEA BREEZE,LAKEWOOD DR,Primary Arterial A,0.05819353239204546,1,0,1,5,2025,2025,2.054019883036707,85.92020099957801,False
503968,S FLORES ST,KENDALIA AVE,E BONNER AVE,Secondary Arterial B,0.06127498544128788,1,0,1,5,2026,2026,3.942195894389934,81.59936659292839,False
407644,BUENA VISTA ST,S SABINAS,S CIBOLO ST,None,0.06655696263068182,1,0,1,5,2026,2026,2.0979379043094952,75.12362046544278,False
312555,E CYPRESS,OGDEN ST,McCullough Ave,Secondary Arterial B,0.06775672937310606,1,0,1,5,2025,2025,1.6861469186134344,73.79340836342959,False
409202,MONTEZUMA,S PICOSO,SW 18TH ST,None,0.06878149566287879,1,0,1,5,2026,2026,6.463051373467213,72.69397025773733,False
416674,EVERS RD,WURZBACH RD,JOINER DR,None,0.14527035922348486,1,1,0,10,2024,2024,3.0449053646244333,68.83716715132462,False
206815,W MISTLETOE,VOLLUM AVE,LAKE BLVD,None,0.1456862810132576,1,1,0,10,2026,2026,1.8132383283009745,68.64064296548273,False
507718,McCullough Ave,N ST MARYS,AUGUSTA,None,0.07404999229545454,1,0,1,5,2024,2024,1.1095345271554555,67.5219516573389,False
423330,NEW LAREDO HWY,MASTERS AVE,BRIGGS AVE,Secondary Arterial A,0.0808179963219697,1,0,1,5,2025,2025,4.7368322048718134,61.867408591529156,False
407406,HISTORIC OLD HWY 90,S SAN JOAQUIN,MONTEREY ST,Secondary Arterial A,0.1770911813030303,1,1,0,10,2024,2024,1.5807376651609317,56.46808568569238,False
507525,HAYS ST,N MESQUITE ST,N HACKBERRY ST,None,0.08930099565340908,1,0,1,5,2025,2025,0.5108953321100675,55.99041716629644,False
416936,CALLAGHAN RD,MUIRFIELD,GREENSBORO,Secondary Arterial A,0.08953797167424242,1,0,1,5,2024,2024,3.799379772911384,55.84222991102624,False
417905,CALLAGHAN RD,CULEBRA RD,MILLBANK DR,Secondary Arterial A,0.09037423344886364,1,0,1,5,2026,2026,1.2447101012790922,55.32550384318496,False
510017,E HOUSTON ST,N ST MARYS,NAVARRO ST,None,0.09692852103219697,1,0,1,5,2024,2024,2.5727103925230286,51.58440412331411,False
401994,SW MILITARY DR,TACOMA AVE,COMMERCIAL AVE,Primary Arterial A,0.10076750545833334,1,0,1,5,2024,2024,1.0048244874353731,49.6191701606374,False
403888,S SAN GABRIEL,W CESAR CHAVEZ BLVD,SAN FERNANDO ST,None,0.10195882376136364,1,0,1,5,2024,2024,0.035787914493095485,49.039404492372185,False
310752,W KINGS HWY,SAN PEDRO AVE,BREEDEN ST,None,0.10345648103030303,1,0,1,5,2024,2024,2.3062862064689402,48.32950000044434,False
400167,IH 35 S,TBD,TBD,None,0.10508358139393939,1,0,1,5,2024,2024,5.020344366277651,47.58117237416854,False
403453,W AMBER,PLEASANTON RD,OPPENHEIMER AVE,None,0.10705798465719697,1,0,1,5,2024,2024,0.8454912439804604,46.70366265543067,False
405788,FURNISH,S SAN MARCOS,RALPH AVE,None,0.11003880832386363,1,0,1,5,2026,2026,7.045169581517013,45.43851461280931,False
504059,S FLORES ST,E HARDING BLVD,GENEVIEVE DR,Secondary Arterial B,0.11143326192992424,1,0,1,5,2025,2025,4.328716020599164,44.869906107067855,False
512185,US HWY 87 E,TBD,TBD,Primary Arterial A,0.25245564331060605,1,1,0,10,2025,2025,4.707390927746966,39.61091884841176,False
846954,SE MILITARY DR,SNYDER ST,CURTIS ST,Primary Arterial A,0.13447241044128788,1,0,1,5,2025,2025,17.449374039834957,37.18234828684844,False
505229,PROBANDT ST,S ALAMO ST,BLUE STAR,None,0.13904631742045456,1,0,1,5,2025,2025,7.342135412521147,35.9592407246628,False
505259,GULF ST,N PALMETTO,ST JAMES,None,0.13919179212878788,1,0,1,5,2024,2024,2.7237384968358596,35.92165833581427,False
313142,WALZEM RD,TBD,TBD,Secondary Arterial A,0.1516661230473485,1,0,1,5,2025,2025,0.7686061032833913,32.96715113129815,False
206969,FREDERICKSBURG RD,DE CHANTLE,GARDINA ST,Secondary Arterial A,0.16530743535037878,1,0,1,5,2024,2024,3.095032075207804,30.246673353816224,False
309759,AUSTIN HWY,TBD,TBD,Primary Arterial A,0.17482682313068182,1,0,1,5,2026,2026,1.5992543390786933,28.599730352947816,False
506971,AMANDA,CHICKERING AVE,HICKS AVE,None,0.17613745970265152,1,0,1,5,2026,2026,2.4199983944692485,28.386920127273367,False
306359,Oconnor Rd,N WEIDNER RD,OLD OCONNOR RD,Secondary Arterial A,0.3541346765037879,1,1,0,10,2025,2025,1.8360244641356382,28.237844705651238,False
819498,ROOSEVELT AVE,TBD,TBD,None,0.17708588668939393,1,0,1,5,2025,2025,0.522325739914574,28.234887000170303,False
403894,ROMERO,AKRON,CASTROVILLE RD,None,0.18889121396780303,1,0,1,5,2026,2026,4.175151455860782,26.47026240644661,False
305246,JONES MALTSBERGER RD,PERENNIAL,CROSS CANYON,Secondary Arterial A,0.19679710478787882,1,0,1,5,2024,2024,1.1789458435698186,25.406877836893674,False
403922,HISTORIC OLD HWY 90,W CESAR CHAVEZ BLVD,SW 36TH ST,Secondary Arterial A,0.20373177907386364,1,0,1,5,2024,2024,1.500044972556066,24.542072045555706,False
312647,E JOSEPHINE ST,AUSTIN ST,N PINE ST,None,0.22206499554924244,1,0,1,5,2026,2026,2.1878143380166652,22.51593047176704,False
424785,US HWY 90 W ACCESS RD,TBD,TBD,None,0.22442909230492425,1,0,1,5,2024,2024,12.806022732568817,22.27875160323096,False
307862,UHR LN,TAMARRON,HILTON HEAD,None,0.2261657039469697,1,0,1,5,2025,2025,1.761128811117083,22.107684378053964,False
847544,W HAUSMAN RD,BRIDGE,JV Bacon Pkwy,Secondary Arterial A,0.23262574482007575,1,0,1,5,2025,2025,6.3831553730630315,21.49375170777958,False
304225,AUSTIN HWY,WALZEM RD,NE LOOP 410 ACCESS RD,Primary Arterial A,0.23463517691856062,1,0,1,5,2024,2024,8.567861913902476,21.309677711860942,False
308333,DEERWOOD DR,CLOUDHAVEN DR,THRUSH VIEW LN,None,0.24012291354356058,1,0,1,5,2024,2024,5.596121653467614,20.822669216417584,False
504144,ROOSEVELT AVE,HERBST,SE LOOP 410 ACCESS RD,Primary Arterial A,0.24103055057007575,1,0,1,5,2024,2024,9.08735298219032,20.74425830324912,False
411960,INGRAM RD,DARWIN DR,CALLAGHAN RD,Secondary Arterial B,0.2586950061041667,1,0,1,5,2026,2026,3.0164987166951724,19.32777936187407,False
