segmentid,road_label,from_street,to_street,length_miles,crashes,deaths,serious_injuries,first_year,last_year,max_match_distance_ft
4278,AUSTIN HWY,TBD,TBD,0.5882149153277272,3,0,3,2016,2023,3.0
6493,HUEBNER RD,BABCOCK RD,OAKLAND RD,0.1720099301159519,2,1,1,2017,2021,3.5
8820,CULEBRA RD,MIRA VISTA,BRIDGE,0.1929387363053979,2,0,2,2021,2022,0.1
9356,W MAYFIELD,S ZARZAMORA,WABASH ST,0.24918883408025944,2,0,2,2017,2019,9.6
47412,PERRIN BEITEL,TBD,TBD,0.10029637395883415,2,0,2,2017,2017,3.3
56719,PROBANDT ST,S ALAMO ST,BLUE STAR,0.13917369900562618,2,0,2,2019,2025,39.4
2624,CULEBRA RD,Isla Bonita,GRIFFIN PARK DR,0.10325367950587176,1,1,0,2022,2022,3.5
4215,IH 10 W,TBD,TBD,0.021062534709824453,1,1,0,2019,2019,25.9
6779,S ROSILLO,SAUNDERS,W CESAR CHAVEZ BLVD,0.07381493095779249,1,1,0,2022,2022,8.3
8358,WEST AVE,LA MANDA BLVD,VENICE ST,0.05716112039146951,1,1,0,2021,2021,5.1
12469,HISTORIC OLD HWY 90,MONTEREY ST,MONTEREY ST,0.019952292650105518,1,1,0,2025,2025,1.7
14287,N WEIDNER RD,WURZBACH PKWY,WURZBACH PKWY,0.0109486368693632,1,1,0,2021,2021,4.3
14648,E HOUSTON ST,N PALMETTO,ST JAMES,0.13924217978144007,1,1,0,2019,2019,1.8
17728,SHERMAN ST,N HACKBERRY ST,DALTON ALLEY,0.03132748228123525,1,1,0,2016,2016,0.7
19276,N ZARZAMORA,CINCINNATI AVE,W ASHBY PLACE,0.0702802032725676,1,1,0,2024,2024,5.6
19290,BASSE,McCullough Ave,SAN PEDRO AVE,0.4552340698444234,1,1,0,2022,2022,5.7
19942,HISTORIC OLD HWY 90,JEROME RD,GENA RD,0.2506821611839202,1,1,1,2016,2016,3.0
21205,W COMMERCE ST,S SAN AUGUSTINE,S SAN BERNARDO,0.10597761542855233,1,1,0,2016,2016,0.4
23314,W COMMERCE ST,TOM SLICK AVE,CALLAGHAN RD,0.483892294411269,1,1,0,2018,2018,6.0
24054,EVERS RD,WURZBACH RD,JOINER DR,0.14541168304813806,1,1,0,2024,2024,3.0
25686,N NEW BRAUNFELS AVE,BRIDGE,BRIDGE,0.02133004037052014,1,1,0,2017,2017,5.3
27277,CASTROVILLE RD,CORTEZ AVE,JUANITA ST,0.036392847121588294,1,1,0,2023,2023,2.0
28420,BRISTLECONE,BANDERA RD,BANDERA RD,0.011743477358090811,1,1,0,2022,2022,1.1
28522,DENVER BLVD,S PINE ST,PIEDMONT AVE,0.14502349942207873,1,1,0,2017,2017,7.6
28603,SOMERSET RD,LA VIOLETA ST,SIOUX ST,0.009867371228383312,1,1,0,2018,2018,1.0
28973,NW 24TH ST,RIVAS ST,W POPLAR ST,0.07594789844730195,1,1,0,2020,2020,3.5
29614,S GENERAL MCMULLEN,ALDAMA,AMAYA,0.05093653020734283,1,1,0,2021,2021,3.6
32819,FRIO CITY RD,CORTA,S TRINITY,0.13964223566975112,1,1,0,2018,2018,7.3
