segmentid,road_label,from_street,to_street,length_miles,crashes,deaths,serious_injuries,first_year,last_year,max_match_distance_ft
24095,W MISTLETOE,VOLLUM AVE,LAKE BLVD,0.14670005800030242,1,1,0,2026,2026,1.8
4626,AUSTIN HWY,TBD,TBD,0.17499825745996686,1,0,1,2026,2026,1.6
6289,ROMERO,AKRON,CASTROVILLE RD,0.18906521291438272,1,0,1,2026,2026,4.2
10339,CALLAGHAN RD,CULEBRA RD,MILLBANK DR,0.09045965235178548,1,0,1,2026,2026,1.2
13471,INGRAM RD,DARWIN DR,CALLAGHAN RD,0.25894261851837086,1,0,1,2026,2026,3.0
16811,W GERALD,OREGON ST,Dead End,0.01620008116307393,1,0,1,2026,2026,21.0
25054,BUENA VISTA ST,S SABINAS,S CIBOLO ST,0.06661878541181587,1,0,1,2026,2026,2.1
25207,FURNISH,S SAN MARCOS,RALPH AVE,0.11013941249091104,1,0,1,2026,2026,7.1
28842,E JOSEPHINE ST,AUSTIN ST,N PINE ST,0.22227405349205018,1,0,1,2026,2026,2.2
29582,S GENERAL MCMULLEN,ALTA SITA,BUENA VISTA ST,0.04034608925050564,1,0,1,2026,2026,3.1
32216,AMANDA,CHICKERING AVE,HICKS AVE,0.17629688152215284,1,0,1,2026,2026,2.4
36538,N ST MARYS,E RUSSELL PLACE,E CRAIG PLACE,0.037289878027005834,1,0,1,2026,2026,2.0
36859,MONTEZUMA,S PICOSO,SW 18TH ST,0.06884504854317358,1,0,1,2026,2026,6.5
36884,S ROSILLO,BUENA VISTA ST,MONTEREY ST,0.07436182406851076,1,0,2,2026,2026,1.3
44686,S FLORES ST,KENDALIA AVE,E BONNER AVE,0.061328986532786615,1,0,1,2026,2026,3.9
52576,NOGALITOS ST,PRADO ST,CONCEPTION CT,0.05444672434361344,1,0,1,2026,2026,4.6
54246,IH 35 N ACCESS RD,TBD,TBD,0.28693692849780694,1,0,1,2026,2026,33.5
55032,STEVES AVE,MISSION RD,ROOSEVELT AVE,0.31634525979195066,1,0,1,2026,2026,5.0
76155,WURZBACH PKWY,TBD,TBD,0.3113278954740769,1,0,1,2026,2026,1.3
78494,IH 10 E,TBD,TBD,0.016488026146040446,1,0,1,2026,2026,5.5
