city,serious_injury_rate_per_million,death_rate_per_million
San Marcos,67.2775467915338,13.45550935830676
Harlingen,55.371752100665844,13.842938025166461
Corpus Christi,59.8775975847268,15.757262522296527
Richardson,42.29510138135801,16.918040552543207
Allen,17.580717469079914,17.580717469079914
Beaumont,168.3084118772589,17.716674934448303
Edinburg,36.78296213194049,18.391481065970243
Temple,124.65201313001205,20.775335521668676
Baytown,57.87371954395509,23.149487817582035
Victoria,181.7493373722075,30.29155622870125
