intersection,crashes,deaths,serious_injuries
SL0013 & SS0536,2,0,2
FM1976 & IH0035,1,1,0
HUEBNER RD & BABCOCK RD,1,1,0
IH0035 & SS0422,1,1,0
IH0410 & SH0016,1,1,0
IH0410 & SS0122,1,1,0
N GENERAL MCMULLEN DR & W COMMERCE ST,1,1,0
N ZARZAMORA ST & ZARZAMORA ST,1,1,0
NW 24TH ST & W POPLAR ST,1,1,0
PA1502 & IH0035,1,1,0
S GENERAL MCMULLEN DR & ALDAMA ST,1,1,0
S ROSILLO ST & SAUNDERS AVE,1,1,0
SH0016 & SS0471,1,1,0
SL1604 & SH0016,1,1,0
SOMERSET RD & SIOUX ST,1,1,0
SS0122 & SL0013,1,1,0
US0087 & FM1516,1,1,0
WEST AVE & VENICE ST,1,1,0
ADAMS HILL DR & SAN LUCAS DR,1,0,1
AMIRES PL & NW 38TH ST,1,0,1
APPLE VALLEY DR & RAY ELLISON BLVD,1,0,1
AUSTIN HWY & BOBBY LOU DR,1,0,1
BABCOCK RD & LOUIS PASTEUR DR,1,0,1
BETTY LEVY & W MILITARY DR,1,0,1
BOLING BROOK DR & HONEYTREE LN,1,0,1
CAMDEN ST & MCCULLOUGH AVE,1,0,1
CAROLYN ST & OSAGE,1,0,1
DAWSON ST & N MITTMAN ST,1,0,1
DOLLARHIDE AVE & BOB BILLA DR,1,0,1
E CYPRESS ST & OGDEN ST,1,0,1
E HOUSTON ST & N ST MARYS ST,1,0,1
FAIR AVE & PIEDMONT AVE,1,0,1
FIVE PALMS DR & WAR HORSE DR,1,0,1
FM0471 & FM1560,1,0,1
FM0471 & SL1604,1,0,1
FM1976 & GIBBS SPRAWL RD,1,0,1
FM2252 & SL1604,1,0,1
FRAN FRAN ST & S CALAVERAS ST,1,0,1
FREDERICKSBURG RD & N ZARZAMORA ST,1,0,1
FREDERICKSBURG RD & W WOODLAWN AVE,1,0,1
FRESNO & W IH 10,1,0,1
FRESNO ST & N AUDUBON DR,1,0,1
HAYS ST & N HACKBERRY,1,0,1
HEARTLAND DR & STAHL RD,1,0,1
HICKMAN & N FLORES ST,1,0,1
IH0010 & PROBANDT ST,1,0,1
IH0010 & W HILDEBRAND AVE,1,0,1
IH0010 & W MARTIN ST,1,0,1
IH0035 & FM1976,1,0,1
IH0035 & PENDLETON AVE,1,0,1
IH0035 & POTEET JOURDANTON FWY,1,0,1
IH0035 & SEGUIN RD,1,0,1
IH0035 & SL0013,1,0,1
IH0035 & THOUSAND OAKS DR,1,0,1
IH0410 & FM2252,1,0,1
JONES MALTSBERGER RD & CROSS CANYON DR,1,0,1
LAMAR ST & N GRIMES ST,1,0,1
LES HARRISON DR & HIDDEN BRK,1,0,1
LORENE LN & MCCARTY RD,1,0,1
MARTIN LUTHER KING DR & BELLINGER ST,1,0,1
MCCULLOUGH AVE & BROADWAY ST,1,0,1
MCCULLOUGH AVE & N ST MARYS ST,1,0,1
MISSION RD & E SOUTHCROSS BLVD,1,0,1
MOUNTAIN STAR & SUMMER VAIL,1,0,1
N NEW BRAUNFELS AVE & FLAMINGO DR,1,0,1
N PALMETTO ST & GULF ST,1,0,1
NEWELL AVE & KARNES ST,1,0,1
NW 38TH ST & AZUCENA ST,1,0,1
OCONNOR RD & INDEPENDENCE AVE,1,0,1
PA1502 & NACOGDOCHES RD,1,0,1
PERRIN BEITEL RD & DESERT VIEW DR,1,0,1
PICKWELL DR & KATE SCHENCK AVE,1,0,1
PLEASANTON RD & KENDALIA AVE,1,0,1
PLEASANTON RD & RAYBURN DR,1,0,1
PLEASANTON RD & W AMBER PL,1,0,1
RAY ELLISON BLVD & FIVE PALMS DR,1,0,1
REED RD & CULEBRA RD,1,0,1
S ALAMO ST & E GUENTHER ST,1,0,1
S ALAMO ST & MISSION ST,1,0,1
S FLORES ST & E WHITE AVE,1,0,1
S FLORES ST & KOEPKE AVE,1,0,1
S FLORES ST & W LUBBOCK,1,0,1
S NEW BRAUNFELS AVE & ESSEX ST,1,0,1
S SAN GABRIEL AVE & W CESAR E CHAVEZ BLVD,1,0,1
S TRINITY ST & EL PASO ST,1,0,1
SAN FERNANDO ST & S NAVIDAD ST,1,0,1
SAN PEDRO AVE & FULTON AVE,1,0,1
SAN PEDRO AVE & W KINGS HWY,1,0,1
SANTIAGO ST & S MINTER ST,1,0,1
SL0013 & COMMERCIAL AVE,1,0,1
SL0013 & SINCLAIR RD,1,0,1
SL0353 & BRIGGS AVE,1,0,1
SS0117 & IH0410,1,0,1
SS0421 & BENRUS BLVD,1,0,1
SS0421 & W WOODLAWN AVE,1,0,1
SS0421 & WILLARD DR,1,0,1
SS0536 & PROBANDT ST,1,0,1
ST CHARLES ST & HAYS ST,1,0,1
SW 19TH ST & SALTILLO ST,1,0,1
US0090 & DRIFTWOOD ST,1,0,1
US0090 & SL0353,1,0,1
US0281 & IH0035,1,0,1
UTSA BLVD & BABCOCK RD,1,0,1
W COMMERCE ST & S COLORADO ST,1,0,1
W COMMERCE ST & S SAN MANUEL AVE,1,0,1
W COMMERCE ST & SW 24TH ST,1,0,1
W HARDING BLVD & LOGWOOD AVE,1,0,1
W HAUSMAN RD & HUNTSMAN RD,1,0,1
W HAUSMAN RD & JV BACON PKWY,1,0,1
W HILDEBRAND AVE & MICHIGAN AVE,1,0,1
W MAGNOLIA AVE & BELKNAP PL,1,0,1
W OLMOS DR & AGANIER AVE,1,0,1
W WOODLAWN AVE & SAN ANTONIO AVE,1,0,1
WILSON BLVD & TEXAS AVE,1,0,1
ZARZAMORA & UNKNOWN,1,0,1
