street,note,crashes,deaths,serious_injuries,first_year,last_year
W COMMERCE ST,raw count; not adjusted for road length or bicyclist exposure,7,2,5,2016,2025
PLEASANTON RD,raw count; not adjusted for road length or bicyclist exposure,5,0,5,2017,2024
CULEBRA RD,raw count; not adjusted for road length or bicyclist exposure,4,1,3,2016,2022
FREDERICKSBURG RD,raw count; not adjusted for road length or bicyclist exposure,4,0,4,2016,2024
S FLORES ST,raw count; not adjusted for road length or bicyclist exposure,4,0,4,2017,2025
S GENERAL MCMULLEN DR,raw count; not adjusted for road length or bicyclist exposure,3,2,1,2019,2023
E HOUSTON ST,raw count; not adjusted for road length or bicyclist exposure,3,1,2,2018,2024
EVERS RD,raw count; not adjusted for road length or bicyclist exposure,3,1,2,2016,2025
HUEBNER RD,raw count; not adjusted for road length or bicyclist exposure,3,1,2,2017,2021
N GENERAL MCMULLEN DR,raw count; not adjusted for road length or bicyclist exposure,3,1,2,2016,2022
OCONNOR RD,raw count; not adjusted for road length or bicyclist exposure,3,1,2,2022,2025
FRIO CITY RD,raw count; not adjusted for road length or bicyclist exposure,2,2,0,2018,2025
W OLD US 90,raw count; not adjusted for road length or bicyclist exposure,2,2,0,2024,2025
CASTROVILLE RD,raw count; not adjusted for road length or bicyclist exposure,2,1,1,2017,2023
ENRIQUE M BARRERA PKWY,raw count; not adjusted for road length or bicyclist exposure,2,1,1,2022,2024
N NEW BRAUNFELS AVE,raw count; not adjusted for road length or bicyclist exposure,2,1,1,2017,2017
PA1502,raw count; not adjusted for road length or bicyclist exposure,2,1,1,2021,2022
AUSTIN HWY,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2018,2022
MCCULLOUGH AVE,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2023,2024
MISSION RD,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2016,2020
N MAIN AVE,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2019,2020
S ALAMO ST,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2017,2018
SAN PEDRO AVE,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2023,2024
UTSA BLVD,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2021,2022
W HAUSMAN RD,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2017,2025
W MAYFIELD BLVD,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2017,2019
W WOODLAWN AVE,raw count; not adjusted for road length or bicyclist exposure,2,0,2,2018,2020
BASSE RD,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2022,2022
DENVER BLVD,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2017,2017
DRESDEN DR,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2019,2019
HICKS AVE,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2018,2018
INGRAM RD,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2016,2016
N HACKBERRY ST,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2016,2016
N ZARZAMORA ST,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2024,2024
NW 24TH ST,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2020,2020
ROLAND RD,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2023,2023
S ROSILLO ST,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2022,2022
SOMERSET RD,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2018,2018
W OLD US HIGHWAY 90,raw count; not adjusted for road length or bicyclist exposure,1,1,1,2016,2016
WEST AVE,raw count; not adjusted for road length or bicyclist exposure,1,1,0,2021,2021
ADAMS HILL DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
AMIRES PL,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
APPLE VALLEY DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
BABCOCK RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
BETTY LEVY,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
BOLING BROOK DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2019,2019
BROOKLYN AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
CALLAGHAN RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
CAMDEN ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
CAPITAL ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2019,2019
CAROLYN ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
CLUBHOUSE BLVD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
CROSSWINDS WAY,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
DAWSON ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2019,2019
DE ZAVALA RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
DEERWOOD DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
DOLLARHIDE AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
E CEVALLOS,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
E COMMERCE ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
E CYPRESS ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2025,2025
E EVERGREEN ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
E PYRON RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
E RAMPART,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2020,2020
E RECTOR DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
E SOUTHCROSS BLVD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
EISENHAUER RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2025,2025
ERIE ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
FAIR AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
FAIRMEADOWS LN,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
FIVE PALMS DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
FRAN FRAN ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
FREDRICKSBURG RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
FRESNO,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
FRESNO ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
HAYS ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2025,2025
HEARTLAND DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
HEATHRIDGE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
HICKMAN,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
HORIZON HILL BLVD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
JONES MALTSBERGER RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
LAMAR ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
LEE HALL ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
LES HARRISON DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
LORENE LN,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
MARBACH RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
MARTIN LUTHER KING DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
MEDICAL DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
MIDCROWN DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
MOUNTAIN STAR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
N 281 HWY,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
N FLORES ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
N HACKBERRY,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
N PALMETTO ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
NACOGDOCHES RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
NE LOOP 410,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
NEWELL AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
NW 38TH ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
NW LOOP 410,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
