radius_m,cluster,crashes,deaths,serious_injuries,first_year,last_year
250,0,4,0,4,2016,2024
250,1,3,0,3,2018,2024
250,2,3,0,3,2019,2025
250,3,3,0,3,2018,2022
250,4,1,0,1,2024,2024
500,0,4,3,1,2016,2025
500,1,3,1,2,2016,2025
500,2,5,0,5,2016,2024
500,3,5,0,5,2017,2025
500,4,4,0,4,2018,2024
500,5,4,0,4,2018,2024
500,6,4,0,4,2019,2025
500,7,3,1,2,2019,2025
500,8,3,0,3,2021,2024
500,9,2,2,0,2024,2025
1000,0,27,4,23,2016,2025
1000,1,3,0,3,2016,2024
1000,2,15,7,8,2016,2025
1000,3,7,0,7,2016,2024
1000,4,3,0,3,2017,2019
1000,5,11,2,9,2016,2024
1000,6,5,0,5,2017,2025
1000,7,4,0,4,2017,2025
1000,8,4,0,4,2016,2019
1000,9,4,0,4,2018,2024
1000,10,3,0,3,2019,2024
1000,11,4,1,3,2019,2025
1000,12,1,0,1,2019,2019
1000,13,5,1,4,2021,2024
1000,14,1,0,1,2021,2021
1000,15,3,1,2,2021,2023
1000,16,3,1,2,2016,2025
