area_id,area_label,original_2020_total,crashes,deaths,serious_injuries,first_year,last_year,affected_bicyclists
13,Williamsburg to IH 10,4.0,2,0,2,2022,2024,2
4,Romero to Hamilton,2.0,1,1,0,2023,2023,1
11,Fitch to Hutchins Place,4.0,1,0,1,2023,2023,1
1,Perrin Beitel to Bobby Lou,2.0,0,0,0,,,0
2,Brooks to Sherman,2.0,0,0,0,,,0
3,Alamo Pkwy to Westwood,3.0,0,0,0,,,0
5,Callaghan to Bonanza,2.0,0,0,0,,,0
6,Desert View to Sun Gate,2.0,0,0,0,,,0
7,Willard to Woodlawn,3.0,0,0,0,,,0
8,Hickman to Croft Trace,2.0,0,0,0,,,0
9,Timber Path to Reed,2.0,0,0,0,,,0
10,Guenther to Mission,2.0,0,0,0,,,0
12,IH 35 to Duval,2.0,0,0,0,,,0
14,Allensworth to Casa Blanca,3.0,0,0,0,,,0
