street,crashes,deaths,serious_injuries
IH0035,14,4,10
SL0013,10,1,9
IH0410,9,5,4
W COMMERCE ST,7,2,5
SS0421,7,0,7
IH0010,6,1,5
US0090,5,2,3
PLEASANTON RD,5,0,5
CULEBRA RD,4,1,3
FREDERICKSBURG RD,4,0,4
S FLORES ST,4,0,4
SL0368,4,0,4
S GENERAL MCMULLEN DR,3,2,1
E HOUSTON ST,3,1,2
EVERS RD,3,1,2
FM1976,3,1,2
HUEBNER RD,3,1,2
N GENERAL MCMULLEN DR,3,1,2
OCONNOR RD,3,1,2
FM0471,3,0,3
FM2252,3,0,3
SL0353,3,0,3
SS0536,3,0,3
US0281,3,0,3
FRIO CITY RD,2,2,0
SL1604,2,2,0
W OLD US 90,2,2,0
CASTROVILLE RD,2,1,1
ENRIQUE M BARRERA PKWY,2,1,1
IH0037,2,1,1
N NEW BRAUNFELS AVE,2,1,1
PA1502,2,1,1
AUSTIN HWY,2,0,2
MCCULLOUGH AVE,2,0,2
MISSION RD,2,0,2
N MAIN AVE,2,0,2
S ALAMO ST,2,0,2
SAN PEDRO AVE,2,0,2
SL0345,2,0,2
UTSA BLVD,2,0,2
W HAUSMAN RD,2,0,2
W MAYFIELD BLVD,2,0,2
W WOODLAWN AVE,2,0,2
BASSE RD,1,1,0
DENVER BLVD,1,1,0
DRESDEN DR,1,1,0
HICKS AVE,1,1,0
INGRAM RD,1,1,0
N HACKBERRY ST,1,1,0
N ZARZAMORA ST,1,1,0
NW 24TH ST,1,1,0
ROLAND RD,1,1,0
S ROSILLO ST,1,1,0
SH0016,1,1,0
SOMERSET RD,1,1,0
SS0122,1,1,0
US0087,1,1,0
W OLD US HIGHWAY 90,1,1,1
WEST AVE,1,1,0
ADAMS HILL DR,1,0,1
AMIRES PL,1,0,1
APPLE VALLEY DR,1,0,1
BABCOCK RD,1,0,1
BETTY LEVY,1,0,1
BOLING BROOK DR,1,0,1
BROOKLYN AVE,1,0,1
CALLAGHAN RD,1,0,1
CAMDEN ST,1,0,1
CAPITAL ST,1,0,1
CAROLYN ST,1,0,1
CLUBHOUSE BLVD,1,0,1
CROSSWINDS WAY,1,0,1
DAWSON ST,1,0,1
DE ZAVALA RD,1,0,1
DEERWOOD DR,1,0,1
DOLLARHIDE AVE,1,0,1
E CEVALLOS,1,0,1
E COMMERCE ST,1,0,1
E CYPRESS ST,1,0,1
E EVERGREEN ST,1,0,1
E PYRON RD,1,0,1
E RAMPART,1,0,1
E RECTOR DR,1,0,1
E SOUTHCROSS BLVD,1,0,1
EISENHAUER RD,1,0,1
ERIE ST,1,0,1
FAIR AVE,1,0,1
FAIRMEADOWS LN,1,0,1
FIVE PALMS DR,1,0,1
FM2696,1,0,1
FRAN FRAN ST,1,0,1
FREDRICKSBURG RD,1,0,1
FRESNO,1,0,1
FRESNO ST,1,0,1
HAYS ST,1,0,1
HEARTLAND DR,1,0,1
HEATHRIDGE,1,0,1
HICKMAN,1,0,1
HORIZON HILL BLVD,1,0,1
JONES MALTSBERGER RD,1,0,1
LAMAR ST,1,0,1
LEE HALL ST,1,0,1
LES HARRISON DR,1,0,1
LORENE LN,1,0,1
MARBACH RD,1,0,1
MARTIN LUTHER KING DR,1,0,1
MEDICAL DR,1,0,1
MIDCROWN DR,1,0,1
MOUNTAIN STAR,1,0,1
N 281 HWY,1,0,1
N FLORES ST,1,0,1
N HACKBERRY,1,0,1
N PALMETTO ST,1,0,1
NACOGDOCHES RD,1,0,1
NE LOOP 410,1,0,1
NEWELL AVE,1,0,1
NW 38TH ST,1,0,1
NW LOOP 410,1,0,1
OLD CORPUS CHRISTI RD,1,0,1
OLD PEARSALL RD,1,0,1
PERRIN BEITEL RD,1,0,1
PICKWELL DR,1,0,1
QUINTANA RD,1,0,1
RAY ELLISON BLVD,1,0,1
REED RD,1,0,1
RITTIMAN RD,1,0,1
RIVAS ST,1,0,1
ROBINHOOD PL,1,0,1
S ACME RD,1,0,1
S NEW BRAUNFELS AVE,1,0,1
S SAN GABRIEL AVE,1,0,1
S TRINITY ST,1,0,1
S WW WHITE RD,1,0,1
S ZARZAMORA ST,1,0,1
SAN FERNANDO ST,1,0,1
SANTIAGO ST,1,0,1
SOLEDAD ST,1,0,1
SOUTHTON RD,1,0,1
SS0117,1,0,1
ST CHARLES ST,1,0,1
SW 19TH ST,1,0,1
SW MILITARY DR,1,0,1
TIMBER PATH,1,0,1
UHR LN,1,0,1
UNKNOWN,1,0,1
W COMMERCE,1,0,1
W HARDING BLVD,1,0,1
W HILDEBRAND AVE,1,0,1
W MAGNOLIA AVE,1,0,1
W OLMOS DR,1,0,1
W SOUTHCROSS BLVD,1,0,1
WHITMAN AVE,1,0,1
WILSON BLVD,1,0,1
ZARZAMORA,1,0,1
