City,population,crashes,affected_bicyclists,serious_injuries,deaths,city,affected_rate_per_million,death_rate_per_million
HOUSTON CITY,2387910,0.0,0.0,0.0,0.0,Houston City,0.0,0.0
SAN ANTONIO CITY,1526621,0.0,0.0,0.0,0.0,San Antonio City,0.0,0.0
DENTON CITY,165986,0.0,0.0,0.0,0.0,Denton City,0.0,0.0
BROWNSVILLE CITY,191968,0.0,0.0,0.0,0.0,Brownsville City,0.0,0.0
AMARILLO CITY,197979,0.0,0.0,0.0,0.0,Amarillo City,0.0,0.0
GRAND PRAIRIE CITY,207618,0.0,0.0,0.0,0.0,Grand Prairie City,0.0,0.0
MCKINNEY CITY,227515,0.0,0.0,0.0,0.0,Mckinney City,0.0,0.0
FRISCO CITY,235221,0.0,0.0,0.0,0.0,Frisco City,0.0,0.0
GARLAND CITY,250571,0.0,0.0,0.0,0.0,Garland City,0.0,0.0
IRVING CITY,258052,0.0,0.0,0.0,0.0,Irving City,0.0,0.0
LAREDO CITY,261408,0.0,0.0,0.0,0.0,Laredo City,0.0,0.0
LUBBOCK CITY,272085,0.0,0.0,0.0,0.0,Lubbock City,0.0,0.0
PLANO CITY,292615,0.0,0.0,0.0,0.0,Plano City,0.0,0.0
CORPUS CHRISTI CITY,317314,0.0,0.0,0.0,0.0,Corpus Christi City,0.0,0.0
ARLINGTON CITY,403657,0.0,0.0,0.0,0.0,Arlington City,0.0,0.0
EL PASO CITY,681724,0.0,0.0,0.0,0.0,El Paso City,0.0,0.0
AUSTIN CITY,993771,0.0,0.0,0.0,0.0,Austin City,0.0,0.0
FORT WORTH CITY,1014376,0.0,0.0,0.0,0.0,Fort Worth City,0.0,0.0
DALLAS CITY,1326093,0.0,0.0,0.0,0.0,Dallas City,0.0,0.0
KILLEEN CITY,160618,0.0,0.0,0.0,0.0,Killeen City,0.0,0.0
