City,population,workers,bike_commuters,bike_commute_pct,crashes,affected_bicyclists,serious_injuries,deaths,city,affected_rate_per_million,death_rate_per_million
VICTORIA,66025,,,,14,14,12,2,Victoria,212.04089360090876,30.29155622870125
BAYTOWN,86395,,,,7,7,5,2,Baytown,81.02320736153712,23.149487817582035
TEMPLE,96268,,,,13,14,12,2,Temple,145.42734865168072,20.775335521668676
EDINBURG,108746,,,,6,6,4,2,Edinburg,55.174443197910726,18.391481065970243
BEAUMONT,112888,,,,21,21,19,2,Beaumont,186.02508681170718,17.716674934448303
ALLEN,113761,,,,4,4,2,2,Allen,35.16143493815983,17.580717469079914
RICHARDSON,118217,,,,7,7,5,2,Richardson,59.21314193390121,16.918040552543207
CORPUS CHRISTI,317314,146972.0,485.0,0.3299948289470103,24,24,19,5,Corpus Christi,75.63486010702333,15.757262522296527
HARLINGEN,72239,,,,5,5,4,1,Harlingen,69.2146901258323,13.842938025166461
SAN MARCOS,74319,,,,6,6,5,1,San Marcos,80.73305614984055,13.45550935830676
MCALLEN,148784,66456.0,94.0,0.14144697243288792,3,3,1,2,Mcallen,20.16345843639101,13.442305624260674
PHARR,81145,,,,3,3,2,1,Pharr,36.970854642923165,12.32361821430772
BROWNSVILLE,191968,83587.0,245.0,0.2931077799179298,13,13,11,2,Brownsville,67.7196199366561,10.418403067177863
AUSTIN,993771,598399.0,5424.0,0.9064186270364757,81,81,71,10,Austin,81.50771153515247,10.062680436438576
GEORGETOWN,101345,,,,2,2,1,1,Georgetown,19.734570033055405,9.867285016527703
WICHITA FALLS,102373,,,,3,3,2,1,Wichita Falls,29.30460179930255,9.768200599767518
TYLER,112204,,,,2,2,1,1,Tyler,17.82467648212185,8.912338241060924
HOUSTON,2387910,1152431.0,6481.0,0.5623764025785492,165,166,145,21,Houston,69.51685783802571,8.79430129276229
SAN ANTONIO,1526621,742336.0,2274.0,0.30633028709371496,82,83,70,13,San Antonio,54.36843853189495,8.51553856523656
ODESSA,123861,,,,5,5,4,1,Odessa,40.367831682289015,8.073566336457805
COLLEGE STATION,128017,,,,16,16,15,1,College Station,124.98340064210221,7.811462540131388
ABILENE,130033,,,,6,6,5,1,Abilene,46.14213315081556,7.690355525135926
ARLINGTON,403657,208822.0,154.0,0.07374701899225178,20,20,17,3,Arlington,49.54701640253978,7.432052460380967
ROUND ROCK,135665,,,,4,4,3,1,Round Rock,29.484391700143735,7.371097925035934
MIDLAND,143637,,,,6,6,5,1,Midland,41.771966833058336,6.961994472176389
WACO,146603,,,,6,6,5,1,Waco,40.92685688560262,6.821142814267102
MESQUITE,151379,,,,6,6,5,1,Mesquite,39.63561656504535,6.605936094174225
MCKINNEY,227515,122639.0,277.0,0.22586616003065907,5,5,4,1,Mckinney,21.97657297321056,4.3953145946421115
GARLAND,250571,,,,2,2,1,1,Garland,7.981769638146473,3.9908848190732367
IRVING,258052,141435.0,263.0,0.18595114363488527,9,10,9,1,Irving,38.75187946615411,3.875187946615411
LAREDO,261408,121293.0,0.0,0.0,2,2,1,1,Laredo,7.650875260129759,3.8254376300648794
LUBBOCK,272085,141424.0,923.0,0.6526473582984501,12,12,11,1,Lubbock,44.103864601135676,3.6753220500946395
DALLAS,1326093,693351.0,382.0,0.055094749989543536,64,64,60,4,Dallas,48.26207513349365,3.0163796958433533
FORT WORTH,1014376,502371.0,281.0,0.05593475738050166,43,43,40,3,Fort Worth,42.390592837369965,2.9574832212118585
EL PASO,681724,318270.0,802.0,0.2519873063750903,24,24,22,2,El Paso,35.20486296507091,2.9337385804225757
SUGAR LAND,109853,,,,5,5,5,0,Sugar Land,45.51537054063157,0.0
SPRING CDP,80983,,,,0,0,0,0,Spring Cdp,0.0,0.0
PFLUGERVILLE,66624,,,,0,0,0,0,Pflugerville,0.0,0.0
BRYAN,91544,45086.0,169.0,0.3748391962028124,2,2,2,0,Bryan,21.847417635235516,0.0
ATASCOCITA CDP,103937,,,,0,0,0,0,Atascocita Cdp,0.0,0.0
CARROLLTON,135256,,,,2,2,2,0,Carrollton,14.786774708700538,0.0
THE WOODLANDS CDP,140489,,,,0,0,0,0,The Woodlands Cdp,0.0,0.0
AMARILLO,197979,101583.0,55.0,0.05414291761416773,11,11,11,0,Amarillo,55.561448436450334,0.0
SAN ANGELO,99661,,,,8,8,8,0,San Angelo,80.27212249525893,0.0
ROWLETT,71228,,,,0,0,0,0,Rowlett,0.0,0.0
CEDAR PARK,79218,,,,2,2,2,0,Cedar Park,25.24678734631018,0.0
PLANO,292615,155771.0,243.0,0.15599822816827266,8,8,8,0,Plano,27.339678417032623,0.0
CONROE,114581,,,,3,3,3,0,Conroe,26.182351349700212,0.0
NEW BRAUNFELS,116465,,,,3,3,3,0,New Braunfels,25.75881166015541,0.0
PEARLAND,131626,,,,4,4,4,0,Pearland,30.389132846094235,0.0
PASADENA,149615,,,,6,6,6,0,Pasadena,40.102930855863384,0.0
NORTH RICHLAND HILLS,71428,,,,0,0,0,0,North Richland Hills,0.0,0.0
FRISCO,235221,,,,10,10,10,0,Frisco,42.51321098031213,0.0
MISSOURI CITY,80865,,,,3,3,3,0,Missouri City,37.09886848451122,0.0
MISSION,88570,,,,2,2,2,0,Mission,22.58100937111889,0.0
MANSFIELD,91367,,,,4,4,4,0,Mansfield,43.779482745411364,0.0
DENTON,165986,89600.0,122.0,0.1361607142857143,6,6,6,0,Denton,36.14762690829347,0.0
LONGVIEW,82941,,,,4,4,4,0,Longview,48.22705296536092,0.0
LEWISVILLE,135181,,,,5,5,5,0,Lewisville,36.987446460671244,0.0
LEAGUE CITY,119398,,,,3,3,3,0,League City,25.12604901254627,0.0
KYLE,65839,,,,3,3,3,0,Kyle,45.56569814243837,0.0
KILLEEN,160618,72862.0,0.0,0.0,5,5,5,0,Killeen,31.129761296990374,0.0
FLOWER MOUND,79435,,,,2,2,2,0,Flower Mound,25.177818342040663,0.0
GRAND PRAIRIE,207618,,,,2,2,2,0,Grand Prairie,9.633076130200656,0.0
LEANDER,86168,,,,2,2,2,0,Leander,23.210472565221426,0.0
