death_rate_rank,City,population,workers,bike_commuters,bike_commute_pct,crashes,affected_bicyclists,serious_injuries,deaths,city,affected_rate_per_million,death_rate_per_million
1,VICTORIA,66025,,,,14,14,12,2,Victoria,212.04089360090876,30.29155622870125
2,BAYTOWN,86395,,,,7,7,5,2,Baytown,81.02320736153712,23.149487817582035
3,TEMPLE,96268,,,,13,14,12,2,Temple,145.42734865168072,20.775335521668676
4,EDINBURG,108746,,,,6,6,4,2,Edinburg,55.174443197910726,18.391481065970243
5,BEAUMONT,112888,,,,21,21,19,2,Beaumont,186.02508681170718,17.716674934448303
6,ALLEN,113761,,,,4,4,2,2,Allen,35.16143493815983,17.580717469079914
7,RICHARDSON,118217,,,,7,7,5,2,Richardson,59.21314193390121,16.918040552543207
8,CORPUS CHRISTI,317314,146972.0,485.0,0.3299948289470103,24,24,19,5,Corpus Christi,75.63486010702333,15.757262522296527
9,HARLINGEN,72239,,,,5,5,4,1,Harlingen,69.2146901258323,13.842938025166461
10,SAN MARCOS,74319,,,,6,6,5,1,San Marcos,80.73305614984055,13.45550935830676
11,MCALLEN,148784,66456.0,94.0,0.14144697243288792,3,3,1,2,Mcallen,20.16345843639101,13.442305624260674
12,PHARR,81145,,,,3,3,2,1,Pharr,36.970854642923165,12.32361821430772
13,BROWNSVILLE,191968,83587.0,245.0,0.2931077799179298,13,13,11,2,Brownsville,67.7196199366561,10.418403067177863
14,AUSTIN,993771,598399.0,5424.0,0.9064186270364757,81,81,71,10,Austin,81.50771153515247,10.062680436438576
15,GEORGETOWN,101345,,,,2,2,1,1,Georgetown,19.734570033055405,9.867285016527703
16,WICHITA FALLS,102373,,,,3,3,2,1,Wichita Falls,29.30460179930255,9.768200599767518
17,TYLER,112204,,,,2,2,1,1,Tyler,17.82467648212185,8.912338241060924
18,HOUSTON,2387910,1152431.0,6481.0,0.5623764025785492,165,166,145,21,Houston,69.51685783802571,8.79430129276229
19,SAN ANTONIO,1526621,742336.0,2274.0,0.30633028709371496,82,83,70,13,San Antonio,54.36843853189495,8.51553856523656
20,ODESSA,123861,,,,5,5,4,1,Odessa,40.367831682289015,8.073566336457805
21,COLLEGE STATION,128017,,,,16,16,15,1,College Station,124.98340064210221,7.811462540131388
22,ABILENE,130033,,,,6,6,5,1,Abilene,46.14213315081556,7.690355525135926
23,ARLINGTON,403657,208822.0,154.0,0.07374701899225178,20,20,17,3,Arlington,49.54701640253978,7.432052460380967
24,ROUND ROCK,135665,,,,4,4,3,1,Round Rock,29.484391700143735,7.371097925035934
25,MIDLAND,143637,,,,6,6,5,1,Midland,41.771966833058336,6.961994472176389
26,WACO,146603,,,,6,6,5,1,Waco,40.92685688560262,6.821142814267102
27,MESQUITE,151379,,,,6,6,5,1,Mesquite,39.63561656504535,6.605936094174225
28,MCKINNEY,227515,122639.0,277.0,0.22586616003065907,5,5,4,1,Mckinney,21.97657297321056,4.3953145946421115
29,GARLAND,250571,,,,2,2,1,1,Garland,7.981769638146473,3.9908848190732367
30,IRVING,258052,141435.0,263.0,0.18595114363488527,9,10,9,1,Irving,38.75187946615411,3.875187946615411
31,LAREDO,261408,121293.0,0.0,0.0,2,2,1,1,Laredo,7.650875260129759,3.8254376300648794
32,LUBBOCK,272085,141424.0,923.0,0.6526473582984501,12,12,11,1,Lubbock,44.103864601135676,3.6753220500946395
33,DALLAS,1326093,693351.0,382.0,0.055094749989543536,64,64,60,4,Dallas,48.26207513349365,3.0163796958433533
34,FORT WORTH,1014376,502371.0,281.0,0.05593475738050166,43,43,40,3,Fort Worth,42.390592837369965,2.9574832212118585
35,EL PASO,681724,318270.0,802.0,0.2519873063750903,24,24,22,2,El Paso,35.20486296507091,2.9337385804225757
